"","variables","corTest","AUCtest","species","method","repid"
"Forest_Productivity36","Forest_Productivity",0.2133,0.5086,"Anastrophyllum_donnianum","gam",2
"SoilpH36","SoilpH",0.1307,0.0426,"Anastrophyllum_donnianum","gam",2
"roe_deer201537","roe_deer2015",0.492,0.1412,"Anastrophyllum_donnianum","gam",3
"red_deer201537","red_deer2015",0.8212,0.5936,"Anastrophyllum_donnianum","gam",3
"moose201537","moose2015",0.7646,0.7596,"Anastrophyllum_donnianum","gam",3
"bio10_1637","bio10_16",0.0335,0,"Anastrophyllum_donnianum","gam",3
"bio12_1637","bio12_16",0.7919,0.2774,"Anastrophyllum_donnianum","gam",3
"Forest_Type37","Forest_Type",0.0924,0.0196,"Anastrophyllum_donnianum","gam",3
"Forest_Productivity37","Forest_Productivity",0.2135,0.1734,"Anastrophyllum_donnianum","gam",3
"SoilpH37","SoilpH",0.0919,0.0062,"Anastrophyllum_donnianum","gam",3
"roe_deer201538","roe_deer2015",0.4998,0.634,"Anastrophyllum_donnianum","gam",4
"red_deer201538","red_deer2015",0.2297,0.0596,"Anastrophyllum_donnianum","gam",4
"moose201538","moose2015",0.9892,0.9224,"Anastrophyllum_donnianum","gam",4
"bio10_1638","bio10_16",0.0101,8e-04,"Anastrophyllum_donnianum","gam",4
"bio12_1638","bio12_16",0.6936,0.7264,"Anastrophyllum_donnianum","gam",4
"Forest_Type38","Forest_Type",0.0161,0.006,"Anastrophyllum_donnianum","gam",4
"Forest_Productivity38","Forest_Productivity",0.1733,0.115,"Anastrophyllum_donnianum","gam",4
"SoilpH38","SoilpH",0.0334,0.004,"Anastrophyllum_donnianum","gam",4
"roe_deer201539","roe_deer2015",0.0506,0.014,"Anastrophyllum_donnianum","gam",5
"red_deer201539","red_deer2015",0.2655,0.0376,"Anastrophyllum_donnianum","gam",5
"moose201539","moose2015",0.5686,0.4148,"Anastrophyllum_donnianum","gam",5
"bio10_1639","bio10_16",0.2946,0.2664,"Anastrophyllum_donnianum","gam",5
"bio12_1639","bio12_16",0.0118,0.0034,"Anastrophyllum_donnianum","gam",5
"Forest_Type39","Forest_Type",0.031,0.0014,"Anastrophyllum_donnianum","gam",5
"Forest_Productivity39","Forest_Productivity",0.1619,0.347,"Anastrophyllum_donnianum","gam",5
"SoilpH39","SoilpH",0.0788,0.009,"Anastrophyllum_donnianum","gam",5
"roe_deer201540","roe_deer2015",0.0231,0.0028,"Anastrophyllum_donnianum","rf",1
